LGA,state,risk_score,school_age_population,idp_population,conflict_count,closed_schools
Gwoza,Borno,1.0,165241,163325,459,19
Maiduguri,Borno,0.842514819321839,506337,204441,355,0
Bama,Borno,0.8190584859981267,164251,171239,309,25
Jere,Borno,0.753915224355356,347253,287477,100,8
Konduga,Borno,0.7417083203392816,107000,71305,389,31
Damboa,Borno,0.6712830609983468,130214,109797,235,41
Ngala,Borno,0.6149759996149464,159772,97954,143,7
Monguno,Borno,0.5990866143659473,119233,162108,83,15
Dikwa,Borno,0.5366069189517129,78472,107707,108,17
Mobbar,Borno,0.510024613523449,125460,89292,70,6
